Word,Iconicity,ipa,1_syl,2_son,3_cons,4_cont,5_delrel,6_lat,7_nas,8_strid,9_voi,10_sg,11_cg,12_ant,13_cor,14_distr,15_lab,16_hi,17_lo,18_back,19_round,20_velaric,21_tense,22_long,23_hitone,24_hireg,phon_pred
malign,0.4333333333333333,məlajn,0.3333333333333333,1.0,0.5,0.6666666666666666,0.0,0.1666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.4276178049668526
condemnation,0.3846153846153846,kɑndəmnejʃən,0.3333333333333333,0.75,0.5833333333333334,0.5,0.0,0.0,0.3333333333333333,0.0,0.8333333333333334,0.0,0.0,0.4166666666666667,0.4166666666666667,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.3333333333333333,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.42761582279903465
idiotic,0.5999999999999999,ɪdiɑtɪk,0.5714285714285714,0.5714285714285714,0.4285714285714285,0.5714285714285714,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.5714285714285714,0.1428571428571428,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.4276082675280908
syphilis,0.25,sɪfəlɪs,0.4285714285714285,0.5714285714285714,0.5714285714285714,1.0,0.0,0.1428571428571428,0.0,0.1428571428571428,0.5714285714285714,0.0,0.0,0.5714285714285714,0.4285714285714285,0.0,0.1428571428571428,0.2857142857142857,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.42759841400768406
storage,0.5333333333333333,stɔɹəd͡ʒ,0.3333333333333333,0.5,0.5,0.6666666666666666,0.1666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.5,0.6666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.42759560216037296
inside,0.4666666666666666,ɪnsajd,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,0.0,0.0,0.1666666666666666,0.0,0.8333333333333334,0.0,0.0,0.5,0.5,0.0,0.0,0.3333333333333333,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.42759125099630235
lapel,0.25,ləpɛl,0.4,0.8,0.6,0.8,0.0,0.4,0.0,0.0,0.8,0.0,0.0,0.6,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4275867887736738
straighten,0.6212121212121213,stɹejtən,0.25,0.625,0.5,0.625,0.0,0.0,0.125,0.0,0.625,0.0,0.0,0.625,0.625,0.0,0.0,0.25,0.0,0.25,0.125,0.0,0.125,0.0,0.0,0.0,0.4275863108045737
phantom,0.5606060606060606,fæntəm,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.0,0.0,0.3333333333333333,0.1666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.42755888026940975
neighbor,0.3833333333333333,nejbɹ̩,0.4,0.8,0.4,0.6,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.6,0.4,0.0,0.2,0.4,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.4275531718687993
married,0.3484848484848484,mɛɹid,0.4,0.8,0.4,0.6,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.6,0.4,0.0,0.2,0.4,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.4275531718687993
trident,0.3166666666666666,tɹajdənt,0.25,0.625,0.5,0.5,0.0,0.0,0.125,0.0,0.75,0.0,0.0,0.625,0.625,0.0,0.0,0.25,0.125,0.25,0.125,0.0,0.125,0.0,0.0,0.0,0.4275491531377101
suspicion,0.5,səspɪʃən,0.375,0.5,0.625,0.75,0.0,0.0,0.125,0.0,0.5,0.0,0.0,0.5,0.5,0.125,0.125,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.42754724644484576
uterus,0.1833333333333333,jutɹ̩əs,0.5,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.5,0.5,0.0,0.1666666666666666,0.5,0.0,0.5,0.3333333333333333,0.0,0.1666666666666666,0.0,0.0,0.0,0.4275265611081954
specialism,0.1333333333333333,spɛʃəlɪzəm,0.4,0.6,0.6,0.8,0.0,0.1,0.1,0.0,0.7,0.0,0.0,0.5,0.4,0.1,0.2,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4275265085517294
poignant,0.3166666666666666,pojnjənt,0.25,0.75,0.5,0.5,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.5,0.375,0.0,0.125,0.25,0.0,0.25,0.125,0.0,0.125,0.0,0.0,0.0,0.42751060782544864
cholera,0.361111111111111,kɑlɹ̩ə,0.6,0.8,0.4,0.8,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.4,0.4,0.0,0.0,0.4,0.2,0.8,0.2,0.0,0.2,0.0,0.0,0.0,0.4274983189067355
